MonthYear,ProductID,TargetRevenue
2025-11,PR01,15000
2025-12,PR01,15000
2026-01,PR01,15000
2026-01,PR03,10000
2026-02,PR01,15000
2026-02,PR03,10000
2026-03,PR01,15000
2026-03,PR03,10000
2026-03,PR04,8000
2026-04,PR01,15000
2026-04,PR03,10000
2026-04,PR04,8000
2026-05,PR01,15000
2026-05,PR03,10000
2026-05,PR04,8000
2026-05,PR05,9000
2026-06,PR01,15000
2026-06,PR03,10000
2026-06,PR04,8000
2026-06,PR05,9000
2026-07,PR01,15000
2026-07,PR03,10000
2026-07,PR04,8000
2026-07,PR05,9000
2026-08,PR01,15000
2026-08,PR02,20000
2026-08,PR03,10000
2026-08,PR04,8000
2026-08,PR05,9000
