TransactionID,Date,ProductID,ChannelID,Quantity,UnitPrice,Revenue,IsRefund,Currency
TXN000001,2025-11-01,PR01,CH01,1,1299,1299,0,INR
TXN000002,2025-11-04,PR01,CH03,1,799,799,0,INR
TXN000003,2025-11-08,PR01,CH03,1,999,999,0,INR
TXN000004,2025-11-09,PR01,CH02,1,999,999,0,INR
TXN000005,2025-11-11,PR01,CH01,1,1499,1499,0,INR
TXN000006,2025-11-11,PR01,CH01,1,999,999,0,INR
TXN000007,2025-11-15,PR01,CH03,1,1299,1299,0,INR
TXN000008,2025-11-15,PR01,CH03,1,1499,1499,0,INR
TXN000009,2025-11-16,PR01,CH02,1,799,799,0,INR
TXN000010,2025-11-16,PR01,CH03,1,1999,1999,0,INR
TXN000011,2025-11-16,PR01,CH02,1,1999,1999,0,INR
TXN000012,2025-11-18,PR01,CH02,1,799,799,0,INR
TXN000013,2025-11-19,PR01,CH02,1,1299,1299,0,INR
TXN000014,2025-11-19,PR01,CH02,1,999,999,0,INR
TXN000015,2025-11-22,PR01,CH03,1,799,799,0,INR
TXN000016,2025-11-22,PR01,CH01,1,1999,1999,0,INR
TXN000017,2025-11-22,PR01,CH01,1,1499,1499,0,INR
TXN000018,2025-11-23,PR01,CH03,1,1999,1999,0,INR
TXN000019,2025-11-23,PR01,CH02,1,799,799,0,INR
TXN000020,2025-11-23,PR01,CH01,1,1299,1299,0,INR
TXN000021,2025-11-23,PR01,CH01,1,999,999,0,INR
TXN000022,2025-11-24,PR01,CH03,1,1299,1299,0,INR
TXN000023,2025-11-26,PR01,CH03,1,1499,1499,0,INR
TXN000024,2025-11-26,PR01,CH01,1,999,999,0,INR
TXN000025,2025-11-28,PR01,CH02,1,1999,1999,0,INR
TXN000026,2025-11-30,PR01,CH03,1,1499,1499,0,INR
TXN000027,2025-11-30,PR01,CH01,1,799,799,0,INR
TXN000028,2025-11-30,PR01,CH01,1,1499,1499,0,INR
TXN000029,2025-11-30,PR01,CH02,1,1499,1499,0,INR
TXN000030,2025-12-03,PR01,CH01,1,799,799,0,INR
TXN000031,2025-12-06,PR01,CH01,1,1299,1299,0,INR
TXN000032,2025-12-08,PR01,CH03,1,1299,1299,0,INR
TXN000033,2025-12-08,PR01,CH01,1,1999,1999,0,INR
TXN000034,2025-12-08,PR01,CH03,1,1299,1299,0,INR
TXN000035,2025-12-13,PR01,CH03,1,799,799,0,INR
TXN000036,2025-12-13,PR01,CH02,1,799,799,0,INR
TXN000037,2025-12-13,PR01,CH02,1,1299,1299,0,INR
TXN000038,2025-12-15,PR01,CH01,1,799,799,0,INR
TXN000039,2025-12-16,PR01,CH03,1,999,999,0,INR
TXN000040,2025-12-16,PR01,CH02,1,1999,1999,0,INR
TXN000041,2025-12-18,PR01,CH01,1,1999,1999,0,INR
TXN000042,2025-12-19,PR01,CH03,1,1299,1299,0,INR
TXN000043,2025-12-20,PR01,CH02,1,1499,1499,0,INR
TXN000044,2025-12-25,PR01,CH03,1,999,0,1,INR
TXN000045,2025-12-26,PR01,CH01,1,999,999,0,INR
TXN000046,2026-01-02,PR01,CH03,1,1999,1999,0,INR
TXN000047,2026-01-03,PR01,CH02,1,999,999,0,INR
TXN000048,2026-01-04,PR01,CH02,1,1499,1499,0,INR
TXN000049,2026-01-05,PR01,CH01,1,799,799,0,INR
TXN000050,2026-01-05,PR01,CH03,1,1299,1299,0,INR
TXN000051,2026-01-12,PR01,CH01,1,1499,1499,0,INR
TXN000052,2026-01-12,PR01,CH03,1,799,799,0,INR
TXN000053,2026-01-13,PR01,CH01,1,799,799,0,INR
TXN000054,2026-01-13,PR01,CH01,1,999,999,0,INR
TXN000055,2026-01-13,PR01,CH02,1,999,999,0,INR
TXN000056,2026-01-13,PR01,CH01,1,999,999,0,INR
TXN000057,2026-01-14,PR01,CH02,1,1499,1499,0,INR
TXN000058,2026-01-14,PR01,CH03,1,1999,1999,0,INR
TXN000059,2026-01-14,PR01,CH02,1,999,999,0,INR
TXN000060,2026-01-14,PR01,CH01,1,799,799,0,INR
TXN000061,2026-01-15,PR03,CH01,1,799,799,0,INR
TXN000062,2026-01-16,PR03,CH01,1,799,799,0,INR
TXN000063,2026-01-16,PR03,CH01,1,999,999,0,INR
TXN000064,2026-01-17,PR03,CH02,1,799,799,0,INR
TXN000065,2026-01-17,PR03,CH03,1,999,999,0,INR
TXN000066,2026-01-19,PR01,CH03,1,1999,1999,0,INR
TXN000067,2026-01-20,PR01,CH02,1,999,999,0,INR
TXN000068,2026-01-21,PR01,CH02,1,1299,1299,0,INR
TXN000069,2026-01-21,PR03,CH01,1,1499,1499,0,INR
TXN000070,2026-01-21,PR03,CH03,1,799,799,0,INR
TXN000071,2026-01-21,PR03,CH01,1,1999,1999,0,INR
TXN000072,2026-01-22,PR01,CH01,1,999,999,0,INR
TXN000073,2026-01-22,PR01,CH01,1,1499,1499,0,INR
TXN000074,2026-01-22,PR01,CH03,1,1299,1299,0,INR
TXN000075,2026-01-22,PR03,CH03,1,1999,0,1,INR
TXN000076,2026-01-22,PR03,CH03,1,1299,1299,0,INR
